gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,sex
GSE75330,GSM2160237,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160238,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160239,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160240,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160241,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160242,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160243,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160244,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160245,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160246,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160247,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160248,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160249,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160250,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160251,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160252,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160253,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160254,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160255,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160256,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160257,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160258,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160259,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160260,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160261,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160262,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160263,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160264,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160265,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160266,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160267,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160268,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160269,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160270,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160271,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160272,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160273,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160274,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160275,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160276,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160277,cortex S1,Mus musculus,NONE,p90,M
GSE75330,GSM2160278,cortex S1,Mus musculus,NONE,p90,M
GSE75330,GSM2160279,cortex S1,Mus musculus,NONE,p90,M
GSE75330,GSM2160280,cortex S1,Mus musculus,NONE,p90,M
GSE75330,GSM2160281,cortex S1,Mus musculus,NONE,p90,M
GSE75330,GSM2160282,cortex S1,Mus musculus,NONE,p90,M
GSE75330,GSM2160283,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160284,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160285,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160286,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160287,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160288,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160289,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160290,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160291,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160292,corpus callosum,Mus musculus,NONE,p90,F
GSE75330,GSM2160293,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160294,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160295,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160296,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160297,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160298,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160299,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160300,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160301,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160302,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160303,hippocampus CA1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160304,corpus callosum,Mus musculus,NONE,p69,M
GSE75330,GSM2160305,corpus callosum,Mus musculus,NONE,p69,M
GSE75330,GSM2160306,corpus callosum,Mus musculus,NONE,p69,M
GSE75330,GSM2160307,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160308,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160309,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160310,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160311,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160312,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160313,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160314,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160315,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160316,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160317,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160318,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160319,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160320,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160321,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160322,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160323,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160324,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160325,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160326,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160327,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160328,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160329,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160330,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160331,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160332,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160333,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160334,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160335,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160336,corpus callosum,Mus musculus,NONE,p21,F
GSE75330,GSM2160337,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160338,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160339,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160340,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160341,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160342,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160343,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160344,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160345,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160346,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160347,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160348,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160349,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160350,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160351,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160352,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160353,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160354,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160355,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160356,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160357,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160358,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160359,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160360,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160361,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160362,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160363,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160364,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160365,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160366,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160367,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160368,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160369,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160370,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160371,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160372,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160373,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160374,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160375,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160376,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160377,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160378,corpus callosum,Mus musculus,NONE,p61,M
GSE75330,GSM2160379,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160380,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160381,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160382,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160383,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160384,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160385,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160386,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160387,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160388,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160389,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160390,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160391,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160392,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160393,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160394,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160395,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160396,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160397,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160398,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160399,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160400,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160401,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160402,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160403,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160404,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160405,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160406,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160407,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160408,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160409,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160410,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160411,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160412,corpus callosum,Mus musculus,NONE,p21,M
GSE75330,GSM2160413,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160414,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160415,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160416,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160417,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160418,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160419,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160420,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160421,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160422,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160423,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160424,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160425,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160426,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160427,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160428,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160429,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160430,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160431,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160432,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160433,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160434,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160435,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160436,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160437,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160438,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160439,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160440,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160441,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160442,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160443,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160444,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160445,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160446,cortex S1,Mus musculus,NONE,p62,M
GSE75330,GSM2160447,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160448,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160449,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160450,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160451,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160452,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160453,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160454,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160455,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160456,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160457,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160458,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160459,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160460,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160461,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160462,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160463,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160464,corpus callosum,Mus musculus,NONE,p22,M
GSE75330,GSM2160465,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160466,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160467,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160468,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160469,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160470,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160471,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160472,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160473,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160474,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160475,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160476,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160477,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160478,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160479,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160480,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160481,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160482,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160483,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160484,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160485,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160486,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160487,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160488,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160489,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160490,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160491,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160492,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160493,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160494,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160495,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160496,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160497,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160498,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160499,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160500,cortex S1,Mus musculus,NONE,p61,F
GSE75330,GSM2160501,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160502,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160503,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160504,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160505,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160506,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160507,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160508,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160509,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160510,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160511,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160512,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160513,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160514,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160515,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160516,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160517,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160518,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160519,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160520,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160521,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160522,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160523,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160524,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160525,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160526,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160527,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160528,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160529,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160530,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160531,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160532,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160533,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160534,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160535,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160536,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160537,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160538,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160539,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160540,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160541,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160542,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160543,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160544,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160545,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160546,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160547,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160548,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160549,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160550,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160551,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160552,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160553,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160554,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160555,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160556,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160557,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160558,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160559,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160560,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160561,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160562,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160563,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160564,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160565,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160566,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160567,corpus callosum,Mus musculus,NONE,p60,F
GSE75330,GSM2160568,corpus callosum,Mus musculus,NONE,p60,F
