gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,sex,age
GSE76381,GSM2268386,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268387,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268388,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268389,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268390,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268391,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268392,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268393,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268394,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268395,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268396,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268397,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268398,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268399,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268400,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268401,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268402,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268403,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268404,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268405,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268406,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268407,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268408,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268409,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268410,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268411,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268412,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268413,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268414,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268415,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268416,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268417,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268418,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268419,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268420,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268421,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268422,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268423,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268424,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268425,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268426,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268427,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268428,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268429,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268430,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268431,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268432,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268433,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268434,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268435,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268436,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268437,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268438,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268439,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268440,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268441,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268442,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268443,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268444,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268445,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268446,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268447,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268448,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268449,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268450,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268451,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268452,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268453,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268454,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268455,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268456,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268457,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268458,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268459,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268460,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268461,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268462,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268463,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268464,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268465,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268466,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268467,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268468,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268469,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268470,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268471,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268472,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268473,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268474,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268475,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268476,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268477,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268478,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268479,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268480,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268481,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268482,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268483,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268484,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268485,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268486,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268487,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268488,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268489,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268490,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268491,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268492,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268493,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268494,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268495,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268496,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268497,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268498,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268499,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268500,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268501,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268502,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268503,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268504,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268505,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268506,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268507,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268508,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268509,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268510,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268511,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268512,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268513,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268514,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268515,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268516,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268517,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268518,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268519,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268520,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268521,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268522,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268523,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268524,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268525,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268526,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268527,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268528,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268529,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268530,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268531,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268532,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268533,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268534,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268535,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268536,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268537,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268538,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268539,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268540,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268541,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268542,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268543,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268544,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268545,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268546,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268547,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268548,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268549,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268550,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268551,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268552,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268553,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268554,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268555,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268556,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268557,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268558,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268559,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268560,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268561,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268562,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268563,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268564,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268565,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268566,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268567,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268568,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268569,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268570,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268571,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268572,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268573,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268574,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268575,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268576,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268577,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268578,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268579,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268580,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268581,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268582,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268583,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268584,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268585,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268586,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268587,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268588,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268589,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268590,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268591,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268592,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268593,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268594,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268595,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268596,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268597,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268598,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268599,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268600,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268601,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268602,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268603,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268604,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268605,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268606,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268607,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268608,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268609,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268610,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268611,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268612,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268613,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268614,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268615,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268616,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268617,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268618,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268619,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268620,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268621,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268622,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268623,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268624,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268625,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
GSE76381,GSM2268626,ventral midbrain,Homo sapiens,NONE,ventral midbrain,?,9w
