gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age,disease_state
GSE118948,GSM3351728,"Leptomeninges, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351728/suppl/GSM3351728_Men4_Onset_1_7.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351729,"Leptomeninges, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351729/suppl/GSM3351729_Men4_Onset_2_8.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351730,"Leptomeninges, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351730/suppl/GSM3351730_Men5_Onset_1_15.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351731,"Leptomeninges, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351731/suppl/GSM3351731_Men5_Onset_2_16.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351732,"Leptomeninges, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351732/suppl/GSM3351732_Men_C_4.coutt.csv.gz,Leptomeninges (Spinal cord),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351733,"Leptomeninges, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351733/suppl/GSM3351733_Men_EAE_5.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351734,"Leptomeninges, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351734/suppl/GSM3351734_Men_Naive_7.coutt.csv.gz,Leptomeninges (Spinal cord),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351735,"Leptomeninges, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351735/suppl/GSM3351735_Men_Naive_9.coutt.csv.gz,Leptomeninges (Spinal cord),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351736,"Leptomeninges, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351736/suppl/GSM3351736_Men_Precl_1_10.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351737,"Leptomeninges, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351737/suppl/GSM3351737_Men_Precl_17.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351738,"Leptomeninges, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351738/suppl/GSM3351738_Men_Precl_2_11.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351739,"Leptomeninges, preclinical day 4",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351739/suppl/GSM3351739_Men_Precl4d_10.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351740,"Leptomeninges, preclinical day 4",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351740/suppl/GSM3351740_Men_Precl4d_8.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351741,"Perivascular space and parenchyma, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351741/suppl/GSM3351741_PV1_Acute_1_9.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351742,"Perivascular space and parenchyma, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351742/suppl/GSM3351742_PV1_Acute_2_10.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351743,"Perivascular space and parenchyma, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351743/suppl/GSM3351743_PV2_Acute_1_5.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351744,"Perivascular space and parenchyma, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351744/suppl/GSM3351744_PV2_Acute_2_6.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351745,"Perivascular space and parenchyma, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351745/suppl/GSM3351745_PV2_Precl_2_2.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351746,"Perivascular space and parenchyma, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351746/suppl/GSM3351746_PV3_Plate1_Onset_1_7.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351747,"Perivascular space and parenchyma, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351747/suppl/GSM3351747_PV3_Plate1_Onset_2_12.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351748,"Perivascular space and parenchyma, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351748/suppl/GSM3351748_PV3_Plate2_Onset_1_3.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351749,"Perivascular space and parenchyma, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351749/suppl/GSM3351749_PV4_Onset_1_13.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351750,"Perivascular space and parenchyma, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351750/suppl/GSM3351750_PV4_Onset_2_14.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351751,"Perivascular space and parenchyma, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351751/suppl/GSM3351751_PV_C_6.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351752,"Perivascular space and parenchyma, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351752/suppl/GSM3351752_PV_EAE_7.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351753,"Perivascular space and parenchyma, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351753/suppl/GSM3351753_PV_Naive_1_5.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351754,"Perivascular space and parenchyma, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351754/suppl/GSM3351754_PV_Naive_2_6.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351755,"Perivascular space and parenchyma, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351755/suppl/GSM3351755_PV_Naive_3_10.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351756,"Perivascular space and parenchyma, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351756/suppl/GSM3351756_PV_Precl_1_15.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351757,"Perivascular space and parenchyma, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351757/suppl/GSM3351757_PV_Precl_2_16.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351758,"Perivascular space and parenchyma, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351758/suppl/GSM3351758_PV_Precl_3_9.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351759,"Perivascular space and parenchyma, preclinical day 4",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351759/suppl/GSM3351759_PV_Precl4d_1_3.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351760,"Perivascular space and parenchyma, preclinical day 4",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351760/suppl/GSM3351760_PV_Precl4d_2_4.coutt.csv.gz,Perivascular space and parenchyma (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
