gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,supplementary_file_4,tissue,age
GSE132355,GSM3860743,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860743/suppl/GSM3860743_P4_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860743/suppl/GSM3860743_P4_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860743/suppl/GSM3860743_P4_matrix.mtx.gz,,Hypothalamus,postnatal 4 days
GSE132355,GSM3860744,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860744/suppl/GSM3860744_P8_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860744/suppl/GSM3860744_P8_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860744/suppl/GSM3860744_P8_matrix.mtx.gz,,Hypothalamus,postnatal 8 days
GSE132355,GSM3860745,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860745/suppl/GSM3860745_P14_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860745/suppl/GSM3860745_P14_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860745/suppl/GSM3860745_P14_matrix.mtx.gz,,Hypothalamus,postnatal 14 days
GSE132355,GSM3860746,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860746/suppl/GSM3860746_P45-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860746/suppl/GSM3860746_P45-1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860746/suppl/GSM3860746_P45-1_matrix.mtx.gz,,Hypothalamus,postnatal 45 days
GSE132355,GSM3860747,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860747/suppl/GSM3860747_P45-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860747/suppl/GSM3860747_P45-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860747/suppl/GSM3860747_P45-2_matrix.mtx.gz,,Hypothalamus,postnatal 45 days
GSE132355,GSM3860748,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860748/suppl/GSM3860748_E12-Foxd1-Nkx2-1-Control-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860748/suppl/GSM3860748_E12-Nkx2-1-Control_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860748/suppl/GSM3860748_E12-Nkx2-1-Control_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860748/suppl/GSM3860748_E12-Nkx2-1-Control_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860749,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860749/suppl/GSM3860749_E12-Foxd1-Nkx2-1-Mutant-1-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860749/suppl/GSM3860749_E12-Nkx2-1-Mutant-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860749/suppl/GSM3860749_E12-Nkx2-1-Mutant-1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860749/suppl/GSM3860749_E12-Nkx2-1-Mutant-1_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860750,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860750/suppl/GSM3860750_E12-Foxd1-Nkx2-1-Mutant-2-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860750/suppl/GSM3860750_E12-Nkx2-1-Mutant-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860750/suppl/GSM3860750_E12-Nkx2-1-Mutant-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860750/suppl/GSM3860750_E12-Nkx2-1-Mutant-2_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860751,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860751/suppl/GSM3860751_E12-Foxd1-Nkx2-2-Control-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860751/suppl/GSM3860751_E12-Nkx2-2-Control_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860751/suppl/GSM3860751_E12-Nkx2-2-Control_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860751/suppl/GSM3860751_E12-Nkx2-2-Control_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860752,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860752/suppl/GSM3860752_E12-Foxd1-Nkx2-2-Mutant-1-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860752/suppl/GSM3860752_E12-Nkx2-2-Mutant-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860752/suppl/GSM3860752_E12-Nkx2-2-Mutant-1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860752/suppl/GSM3860752_E12-Nkx2-2-Mutant-1_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860753,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860753/suppl/GSM3860753_E12-Foxd1-Nkx2-2-Mutant-2-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860753/suppl/GSM3860753_E12-Nkx2-2-Mutant-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860753/suppl/GSM3860753_E12-Nkx2-2-Mutant-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860753/suppl/GSM3860753_E12-Nkx2-2-Mutant-2_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860754,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860754/suppl/GSM3860754_E12-Foxd1-Dlx-Control-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860754/suppl/GSM3860754_E12-Foxd1-Dlx-Control_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860754/suppl/GSM3860754_E12-Foxd1-Dlx-Control_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860754/suppl/GSM3860754_E12-Foxd1-Dlx-Control_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860755,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860755/suppl/GSM3860755_E12-Foxd1-Dlx-Mutant-1-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860755/suppl/GSM3860755_E12-Foxd1-Dlx-Mutant-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860755/suppl/GSM3860755_E12-Foxd1-Dlx-Mutant-1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860755/suppl/GSM3860755_E12-Foxd1-Dlx-Mutant-1_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860756,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860756/suppl/GSM3860756_E12-Foxd1-Dlx-Mutant-2-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860756/suppl/GSM3860756_E12-Foxd1-Dlx-Mutant-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860756/suppl/GSM3860756_E12-Foxd1-Dlx-Mutant-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860756/suppl/GSM3860756_E12-Foxd1-Dlx-Mutant-2_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860757,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860757/suppl/GSM3860757_E12-Foxd1-Ex3-Control-2-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860757/suppl/GSM3860757_E12-Foxd1-Ex3-Control-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860757/suppl/GSM3860757_E12-Foxd1-Ex3-Control-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860757/suppl/GSM3860757_E12-Foxd1-Ex3-Control-2_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860758,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860758/suppl/GSM3860758_E12-Foxd1-Ex3-Mutant-1-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860758/suppl/GSM3860758_E12-Foxd1-Ex3-Mutant-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860758/suppl/GSM3860758_E12-Foxd1-Ex3-Mutant-1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860758/suppl/GSM3860758_E12-Foxd1-Ex3-Mutant-1_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860759,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860759/suppl/GSM3860759_E12-Foxd1-Ex3-Mutant-2-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860759/suppl/GSM3860759_E12-Foxd1-Ex3-Mutant-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860759/suppl/GSM3860759_E12-Foxd1-Ex3-Mutant-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860759/suppl/GSM3860759_E12-Foxd1-Ex3-Mutant-2_matrix.mtx.gz,Hypothalamus,embryonic 12 days
