gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,organ,treatment,mouse_age
GSE98969,GSM2629400,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629400/suppl/GSM2629400_AB1743.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629401,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629401/suppl/GSM2629401_AB1744.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629402,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629402/suppl/GSM2629402_AB1745.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629403,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629403/suppl/GSM2629403_AB1746.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629404,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629404/suppl/GSM2629404_AB1863.txt.gz,Brain,Alzheimer's disease,8 months
GSE98969,GSM2629405,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629405/suppl/GSM2629405_AB1864.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629406,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629406/suppl/GSM2629406_AB2322.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629407,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629407/suppl/GSM2629407_AB2323.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629408,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629408/suppl/GSM2629408_AB2324.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629409,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629409/suppl/GSM2629409_AB2325.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629410,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629410/suppl/GSM2629410_AB2326.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629411,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629411/suppl/GSM2629411_AB2327.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629412,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629412/suppl/GSM2629412_AB2328.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629413,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629413/suppl/GSM2629413_AB2329.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629414,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629414/suppl/GSM2629414_AB2330.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629415,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629415/suppl/GSM2629415_AB2331.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629416,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629416/suppl/GSM2629416_AB2332.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629417,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629417/suppl/GSM2629417_AB2333.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629418,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629418/suppl/GSM2629418_AB2334.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629419,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629419/suppl/GSM2629419_AB2335.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629420,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629420/suppl/GSM2629420_AB2336.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629421,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629421/suppl/GSM2629421_AB2337.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629422,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629422/suppl/GSM2629422_AB2338.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629423,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629423/suppl/GSM2629423_AB2339.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629424,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629424/suppl/GSM2629424_AB2340.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629425,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629425/suppl/GSM2629425_AB2341.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629426,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629426/suppl/GSM2629426_AB2342.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629427,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629427/suppl/GSM2629427_AB2343.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629428,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629428/suppl/GSM2629428_AB2344.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629429,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629429/suppl/GSM2629429_AB2345.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629430,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629430/suppl/GSM2629430_AB2425.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629431,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629431/suppl/GSM2629431_AB2426.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629432,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629432/suppl/GSM2629432_AB2427.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629433,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629433/suppl/GSM2629433_AB2428.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629434,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629434/suppl/GSM2629434_AB2429.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629435,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629435/suppl/GSM2629435_AB2430.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629436,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629436/suppl/GSM2629436_AB2431.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629437,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629437/suppl/GSM2629437_AB2432.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629438,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629438/suppl/GSM2629438_AB2433.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629439,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629439/suppl/GSM2629439_AB2434.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629440,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629440/suppl/GSM2629440_AB2435.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629441,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629441/suppl/GSM2629441_AB2436.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629442,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629442/suppl/GSM2629442_AB2437.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629443,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629443/suppl/GSM2629443_AB2438.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629444,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629444/suppl/GSM2629444_AB2439.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629445,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629445/suppl/GSM2629445_AB2440.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629446,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629446/suppl/GSM2629446_AB2441.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629447,Cortex,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629447/suppl/GSM2629447_AB2442.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629448,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629448/suppl/GSM2629448_AB2443.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629449,Cerebellum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629449/suppl/GSM2629449_AB2444.txt.gz,Brain,Alzheimer's disease,6 months
