gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,pup.age.at.injection,cell.age
GSE118953,GSM3351893,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351894,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351895,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351896,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351897,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351898,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351899,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351900,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351901,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351902,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351903,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351904,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351905,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351906,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351907,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351908,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351909,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351910,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351911,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351912,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351913,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351914,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351915,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351916,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351917,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351918,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351919,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351920,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351921,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351922,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351923,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351924,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351925,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351926,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351927,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351928,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351929,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351930,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351931,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351932,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351933,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351934,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351935,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351936,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351937,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351938,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351939,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351940,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351941,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351942,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351943,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351944,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351945,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351946,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351947,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351948,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351949,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351950,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351951,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351952,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351953,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351954,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351955,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351956,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351957,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351958,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351959,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351960,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351961,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351962,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351963,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351964,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351965,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351966,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351967,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351968,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351969,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351970,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351971,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351972,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351973,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351974,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351975,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351976,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351977,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351978,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351979,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351980,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351981,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351982,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351983,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351984,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351985,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351986,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351987,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351988,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351989,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351990,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351991,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351992,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351993,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351994,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351995,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351996,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351997,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351998,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351999,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352000,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352001,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352002,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352003,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352004,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352005,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352006,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352007,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352008,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352009,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352010,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352011,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352012,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352013,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352014,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352015,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352016,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352017,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352018,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352019,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352020,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352021,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352022,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352023,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352024,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352025,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352026,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352027,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352028,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352029,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352030,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352031,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352032,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352033,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352034,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352035,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352036,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352037,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352038,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352039,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352040,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352041,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352042,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352043,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352044,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352045,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352046,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352047,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352048,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352049,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352050,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352051,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352052,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352053,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352054,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352055,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3352056,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352057,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352058,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352059,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352060,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352061,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352062,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352063,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352064,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352065,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352066,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352067,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352068,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352069,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352070,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352071,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352072,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352073,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352074,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352075,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352076,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352077,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352078,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352079,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352080,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352081,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352082,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352083,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352084,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352085,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352086,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352087,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352088,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352089,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352090,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352091,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352092,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352093,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352094,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352095,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352096,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352097,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352098,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352099,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352100,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352101,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352102,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352103,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352104,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352105,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352106,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352107,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352108,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352109,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352110,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352111,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352112,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352113,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352114,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352115,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352116,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352117,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352118,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352119,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352120,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352121,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352122,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352123,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352124,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352125,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352126,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352127,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352128,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352129,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352130,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352131,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352132,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352133,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352134,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352135,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352136,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352137,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352138,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352139,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352140,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352141,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352142,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352143,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352144,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352145,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352146,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352147,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352148,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352149,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352150,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352151,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352152,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352153,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352154,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352155,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352156,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352157,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352158,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352159,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352160,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352161,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352162,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352163,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352164,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352165,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352166,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352167,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352168,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352169,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352170,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352171,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352172,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352173,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352174,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352175,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352176,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352177,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352178,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352179,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352180,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352181,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352182,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352183,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352184,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352185,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352186,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352187,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352188,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352189,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352190,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352191,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352192,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352193,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352194,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352195,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352196,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352197,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352198,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352199,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352200,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352201,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352202,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352203,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352204,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352205,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352206,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352207,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352208,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352209,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352210,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352211,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352212,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352213,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352214,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352215,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352216,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352217,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352218,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352219,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352220,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352221,cortical cells,Mus musculus,NONE,E15,24H
GSE118953,GSM3352222,cortical cells,Mus musculus,NONE,E15,24H
