gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,gender
GSE142653,GSM4237228,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237229,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237230,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237231,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237232,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237233,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237234,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237235,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237236,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237237,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237238,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237239,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237240,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237241,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237242,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237243,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237244,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237245,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237246,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237247,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237248,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237249,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237250,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237251,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237252,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237253,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237254,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237255,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237256,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237257,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237258,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237259,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237260,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237261,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237262,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237263,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237264,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237265,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237266,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237267,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237268,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237269,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237270,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237271,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237272,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237273,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237274,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237275,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237276,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237277,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237278,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237279,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237280,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237281,fetal pituitary cells,Homo sapiens,NONE,male
