gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,tissue,gender,strain
GSE115622,GSM3185173,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185174,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185175,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185176,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185177,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185178,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185179,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185180,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185181,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185182,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185183,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185184,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185185,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185186,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185187,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185188,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185189,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185190,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185191,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185192,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185193,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185194,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185195,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185196,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185197,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185198,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185199,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185200,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185201,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185202,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185203,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185204,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185205,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185206,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185207,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185208,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185209,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185210,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185211,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185212,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185213,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185214,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185215,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185216,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185217,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185218,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185219,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185220,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185221,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185222,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185223,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185224,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185225,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185226,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185227,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185228,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185229,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185230,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185231,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185232,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185233,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185234,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185235,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185236,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185237,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185238,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185239,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185240,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185241,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185242,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185243,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185244,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185245,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185246,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185247,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185248,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185249,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185250,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185251,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185252,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185253,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185254,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185255,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185256,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185257,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185258,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185259,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185260,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185261,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185262,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185263,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185264,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185265,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185266,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185267,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185268,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185269,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185270,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185271,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185272,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185273,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185274,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185275,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185276,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185277,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185278,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185279,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185280,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185281,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185282,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3330348,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330349,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330350,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330351,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330352,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330353,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330354,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330355,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330356,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330357,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330358,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330359,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330360,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330361,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330362,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330363,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
GSE115622,GSM3330364,single_cell_RNAseq,Mus musculus,NONE,25 MO,NA,Male,C57BL/6
