gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,culture_condition
GSE168323,GSM5136266,Organoid standard culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136266/suppl/GSM5136266_2standardorgday30.csv.gz,standard
GSE168323,GSM5136267,Organoid standard culture day 120,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136267/suppl/GSM5136267_1standardorgday120.csv.gz,standard
GSE168323,GSM5136268,Organoid standard culture day 120,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136268/suppl/GSM5136268_2standardorgday120.csv.gz,standard
GSE168323,GSM5136269,Organoid standard culture day 120,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136269/suppl/GSM5136269_3standardorgday120.csv.gz,standard
GSE168323,GSM5136270,Organoid standard culture day 120,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136270/suppl/GSM5136270_4standardorgday120.csv.gz,standard
GSE168323,GSM5136271,Organoid standard culture day 120,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136271/suppl/GSM5136271_5standardorgday120.csv.gz,standard
GSE168323,GSM5136272,Organoid standard culture day 120,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136272/suppl/GSM5136272_6standardorgday120.csv.gz,standard
GSE168323,GSM5136273,Organoid standard culture day 90,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136273/suppl/GSM5136273_1standardorgday90.csv.gz,standard
GSE168323,GSM5136274,Organoid standard culture day 90,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136274/suppl/GSM5136274_2standardorgday90.csv.gz,standard
GSE168323,GSM5136275,Organoid silk culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136275/suppl/GSM5136275_SilkDay30-06silk.csv.gz,silk
GSE168323,GSM5136276,Organoid silk culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136276/suppl/GSM5136276_SilkDay30-07silk.csv.gz,silk
GSE168323,GSM5136277,Organoid silk culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136277/suppl/GSM5136277_SilkDay30-08silk.csv.gz,silk
GSE168323,GSM5136278,Organoid silk culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136278/suppl/GSM5136278_SilkDay30-09silk.csv.gz,silk
GSE168323,GSM5136279,Organoid silk+laminin culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136279/suppl/GSM5136279_SilkDay30-10silkLam.csv.gz,silk+laminin
GSE168323,GSM5136280,Organoid silk+laminin culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136280/suppl/GSM5136280_SilkDay30-11silkLam.csv.gz,silk+laminin
GSE168323,GSM5136281,Organoid silk+laminin culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136281/suppl/GSM5136281_SilkDay30-12silkLam.csv.gz,silk+laminin
