gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,sex,age
GSE182211,GSM5590726,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590727,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590728,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590729,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590730,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590731,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590732,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590733,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590734,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590735,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590736,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590737,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590738,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590739,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590740,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590741,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590742,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590743,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590744,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590745,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590746,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590747,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590748,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590749,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590750,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590751,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590752,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590753,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590754,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590755,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590756,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590757,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590758,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590759,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590760,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590761,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590762,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590763,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590764,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590765,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590766,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590767,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590768,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590769,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590770,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590771,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590772,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590773,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590774,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590775,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590776,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590777,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590778,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590779,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590780,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590781,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590782,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590783,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590784,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590785,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590786,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590787,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590788,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590789,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590790,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590791,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590792,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590793,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590794,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590795,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590796,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590797,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590798,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590799,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590800,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590801,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590802,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590803,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590804,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590805,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590806,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590807,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590808,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590809,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590810,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590811,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590812,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590813,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590814,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590815,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590816,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590817,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590818,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590819,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590820,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590821,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590822,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590823,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590824,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590825,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590826,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590827,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590828,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590829,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590830,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590831,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590832,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590833,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590834,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590835,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590836,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590837,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590838,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590839,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590840,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590841,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590842,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590843,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590844,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590845,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590846,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590847,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590848,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590849,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590850,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590851,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590852,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590853,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590854,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590855,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590856,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590857,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590858,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590859,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590860,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590861,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590862,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590863,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590864,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590865,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590866,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590867,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590868,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590869,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590870,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590871,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590872,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590873,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590874,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590875,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590876,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590877,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590878,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590879,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590880,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590881,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590882,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590883,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590884,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590885,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590886,Human - dLGN - MC,Homo sapiens,NONE,M,50
